"","Year","State","what","domain1","domain2","dc1","dc2","dc_detail","Value","unit"
"1",2019,"CALIFORNIA"," ACRES HARVESTED","TOTAL"," ","NOT SPECIFIED"," "," ","35,400"," "
"2",2019,"CALIFORNIA"," ACRES PLANTED","TOTAL"," ","NOT SPECIFIED"," "," ","36,000"," "
"3",2019,"CALIFORNIA"," PRODUCTION","TOTAL"," ","NOT SPECIFIED"," "," ","2,221,320,000","$"
"4",2019,"CALIFORNIA"," PRODUCTION","TOTAL"," ","NOT SPECIFIED"," "," ","20,500,000","CWT"
"5",2019,"CALIFORNIA"," YIELD","TOTAL"," ","NOT SPECIFIED"," "," ","580","CWT / ACRE"
"6",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (AZOXYSTROBIN = 128810)","5,500","LB"
"7",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)","LB"
"8",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)","LB"
"9",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS PUMILUS = 6485)","(NA)","LB"
"10",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS SUBT. GB03 = 129068)","(NA)","LB"
"11",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS SUBTILIS = 6479)","(NA)","LB"
"12",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BLAD = 30006)","1,200","LB"
"13",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BORAX DECAHYDRATE = 11102)","300","LB"
"14",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BOSCALID = 128008)","6,200","LB"
"15",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)","LB"
"16",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CAPTAN = 81301)","283,500","LB"
"17",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (COPPER HYDROXIDE = 23401)","(D)","LB"
"18",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (COPPER OCTANOATE = 23306)","(D)","LB"
"19",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CYFLUFENAMID = 555550)","400","LB"
"20",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CYPRODINIL = 288202)","16,600","LB"
"21",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (DIFENOCONAZOLE = 128847)","900","LB"
"22",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FENHEXAMID = 90209)","15,000","LB"
"23",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUDIOXONIL = 71503)","11,100","LB"
"24",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUOPYRAM = 80302)","3,900","LB"
"25",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUXAPYROXAD = 138009)","3,900","LB"
"26",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FOSETYL-AL = 123301)","34,200","LB"
"27",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (ISOFETAMID = 270000)","(D)","LB"
"28",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (MEFENOXAM = 113502)","9,300","LB"
"29",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (MONO-POTASSIUM SALT = 76416)","(D)","LB"
"30",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (MYCLOBUTANIL = 128857)","5,600","LB"
"31",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (PENTHIOPYRAD = 90112)","7,000","LB"
"32",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (POLYOXIN D ZINC SALT = 230000)","1,400","LB"
"33",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (POTASSIUM BICARBON. = 73508)","11,300","LB"
"34",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (PROPICONAZOLE = 122101)","1,600","LB"
"35",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (PYRACLOSTROBIN = 99100)","7,400","LB"
"36",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (PYRIMETHANIL = 288201)","9,300","LB"
"37",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (QUINOLINE = 55459)","4,800","LB"
"38",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (STREPTOMYCES LYDICUS = 6327)","(NA)","LB"
"39",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (SULFUR = 77501)","686,000","LB"
"40",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (TETRACONAZOLE = 120603)","600","LB"
"41",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (THIOPHANATE-METHYL = 102001)","3,300","LB"
"42",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (THIRAM = 79801)","90,900","LB"
"43",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (TOTAL)","1,233,500","LB"
"44",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (TRICHODERMA HARZ. = 119202)","(NA)","LB"
"45",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (TRIFLOXYSTROBIN = 129112)","4,200","LB"
"46",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (TRIFLUMIZOLE = 128879)","7,200","LB"
"47",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (CARFENTRAZONE-ETHYL = 128712)","200","LB"
"48",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (FLUMIOXAZIN = 129034)","1,100","LB"
"49",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (GLUFOSINATE-AMMONIUM = 128850)","(D)","LB"
"50",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (GLYPHOSATE ISO. SALT = 103601)","(D)","LB"
"51",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (GLYPHOSATE POT. SALT = 103613)","(D)","LB"
"52",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (NAPROPAMIDE = 103001)","(D)","LB"
"53",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (OXYFLUORFEN = 111601)","1,300","LB"
"54",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (PARAQUAT = 61601)","(D)","LB"
"55",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (PENDIMETHALIN = 108501)","5,500","LB"
"56",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (SULFENTRAZONE = 129081)","(D)","LB"
"57",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," HERBICIDE","CHEMICAL"," HERBICIDE"," (TOTAL)","10,200","LB"
"58",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (ABAMECTIN = 122804)","500","LB"
"59",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (ACEQUINOCYL = 6329)","5,400","LB"
"60",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (ACETAMIPRID = 99050)","2,800","LB"
"61",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (AZADIRACHTIN = 121701)","800","LB"
"62",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BEAUVERIA BASSIANA = 128924)","(NA)","LB"
"63",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BIFENAZATE = 586)","17,900","LB"
"64",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BIFENTHRIN = 128825)","7,300","LB"
"65",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BT KURSTAK ABTS-1857 = 6523)","(NA)","LB"
"66",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BT KURSTAKI ABTS-351 = 6522)","(NA)","LB"
